label,config_hash,profile,epoch_id,phase,reference_mjd,truth_model,fit_model,method,stage,seed,statistic,evaluations,wall_time_s,success,boundary_hits,generations,stop_reason,tin,ndisk,gamma,norm,gene_tin,gene_ndisk,gene_gamma,gene_norm,delta_c,nh,gene_nh
Synthetic / NICER-inspired,d17357d31d720259,smoke,E01,hard rise,58193.2,Synthetic / NICER-inspired educational absorption × (disk-like + power law),educational_powerlaw,ga,raw,15233296892643236777,698.5672895690495,800,0.1897963000010349,True,0,24.0,max_generations,1.0149704659375147,0.4363264924575606,1.581916881085012,0.3606214194090981,0.4948566491987254,0.0914016546953218,0.1660508178630487,0.6946314398042989,490.60673775275023,,
Synthetic / NICER-inspired,d17357d31d720259,smoke,E01,hard rise,58193.2,Synthetic / NICER-inspired educational absorption × (disk-like + power law),educational_powerlaw,ga+scipy,polished,15233296892643236777,675.0101053016947,855,0.2005155999995622,True,0,24.0,max_generations,1.014764094289305,0.4408953045207104,1.5815718835645745,0.3619695921470292,0.494750817584259,0.0920479248099412,0.1659008189411193,0.694834011055102,467.0495534853954,,
Synthetic / NICER-inspired,d17357d31d720259,smoke,E01,hard rise,58193.2,Synthetic / NICER-inspired educational absorption × (disk-like + power law),educational_cutoff_surrogate,ga,raw,12342298107960471394,2842.7584743166985,800,0.1932347000001755,True,0,24.0,max_generations,1.245134842996451,0.4089987037573086,1.4699808744501588,0.3802951040992395,0.6128896630751031,0.0873888473709614,0.1173829888913734,0.6975150917951795,2397.993582064797,,
Synthetic / NICER-inspired,d17357d31d720259,smoke,E01,hard rise,58193.2,Synthetic / NICER-inspired educational absorption × (disk-like + power law),educational_cutoff_surrogate,ga+scipy,polished,12342298107960471394,2756.222366548141,850,0.203784799999994,True,0,24.0,max_generations,1.2472492056119115,0.4100020501499764,1.463104232655254,0.3763201381579927,0.6139739515958521,0.0875408611922255,0.1143931446327191,0.696944682437763,2311.4574742962395,,
Synthetic / NICER-inspired,d17357d31d720259,smoke,E08,intermediate,58302.1,Synthetic / NICER-inspired educational absorption × (disk-like + power law),educational_powerlaw,ga,raw,615445999175809189,4124.773402293757,800,0.1864247000012255,True,0,24.0,max_generations,0.4308452733862786,1489.233736683423,2.356601714533717,0.4167124951056185,0.1953052684032198,0.5961375522918846,0.5028703106668336,0.7024795653691536,3944.2785891091553,,
Synthetic / NICER-inspired,d17357d31d720259,smoke,E08,intermediate,58302.1,Synthetic / NICER-inspired educational absorption × (disk-like + power law),educational_powerlaw,ga+scipy,polished,615445999175809189,180.4948131761425,1010,0.2290387000011833,True,0,24.0,max_generations,0.6488849707795414,8060.942158385019,2.150462663321292,0.2693751915817278,0.3071204978356622,0.7009122578380675,0.4132446362266488,0.6787946995473155,-8.458926004095702e-09,,
Synthetic / NICER-inspired,d17357d31d720259,smoke,E08,intermediate,58302.1,Synthetic / NICER-inspired educational absorption × (disk-like + power law),educational_cutoff_surrogate,ga,raw,6049354645989657508,1524.9009545535114,800,0.1900796999998419,True,0,24.0,max_generations,0.650349996968236,2647.3060303933426,2.225361874791893,0.3979861315770772,0.3078717933170441,0.6318291641347837,0.4458095107790841,0.6999834923369476,1270.7121506447295,,
Synthetic / NICER-inspired,d17357d31d720259,smoke,E08,intermediate,58302.1,Synthetic / NICER-inspired educational absorption × (disk-like + power law),educational_cutoff_surrogate,ga+scipy,polished,6049354645989657508,254.18880392036544,1010,0.2316456000007747,True,0,24.0,max_generations,0.5941281319994652,9959.685216730117,1.992501608424334,0.2721163560006734,0.2790400676920334,0.714035087491431,0.3445659167062322,0.6793443308184619,1.1583551895455457e-08,,
Synthetic / NICER-inspired,d17357d31d720259,smoke,E10,soft,58330.1,Synthetic / NICER-inspired educational absorption × (disk-like + power law),educational_powerlaw,ga,raw,200555025827444491,942.5934592281012,800,0.1858430999982374,True,0,24.0,max_generations,0.804113822772444,5094.532894383088,2.7669903084452496,0.0879073765325969,0.386725037319202,0.672443481534087,0.6813001341066305,0.6180031649203251,724.882820774809,,
Synthetic / NICER-inspired,d17357d31d720259,smoke,E10,soft,58330.1,Synthetic / NICER-inspired educational absorption × (disk-like + power law),educational_powerlaw,ga+scipy,polished,200555025827444491,217.7106384745828,915,0.2085231999972165,True,0,24.0,max_generations,0.7014100582404871,7383.520527698401,2.4227174160407383,0.0621625397851329,0.3340564401233267,0.6954662123778841,0.5316162678437993,0.599191093774572,2.129056042576849e-08,,
Synthetic / NICER-inspired,d17357d31d720259,smoke,E10,soft,58330.1,Synthetic / NICER-inspired educational absorption × (disk-like + power law),educational_cutoff_surrogate,ga,raw,16991781724227044276,3972.506661082537,800,0.1964943000002676,True,0,24.0,max_generations,0.8311191373086435,2826.2979379551275,2.729495647388358,0.1576220688060157,0.4005739165685351,0.635888277379436,0.6649981075601559,0.6497021279209101,3748.254359075272,,
Synthetic / NICER-inspired,d17357d31d720259,smoke,E10,soft,58330.1,Synthetic / NICER-inspired educational absorption × (disk-like + power law),educational_cutoff_surrogate,ga+scipy,polished,16991781724227044276,224.2523020083376,980,0.235481499999878,True,0,24.0,max_generations,0.6898781750009475,7511.868687654174,2.298141709927682,0.0669469936736179,0.3281426538466397,0.6965354267963804,0.4774529173598618,0.6032163849159391,1.0729195309977513e-09,,
Synthetic / NICER-inspired,d17357d31d720259,smoke,E08,intermediate,58302.1,Synthetic / NICER-inspired educational absorption × (disk-like + power law),educational_powerlaw_free_nh_sensitivity,ga,raw,7330375815093237757,935.5296773757486,800,0.1902690999995684,True,0,24.0,max_generations,0.6518532538241399,12044.969441881069,1.9168653133594629,0.1765581974136414,0.3086426942687897,0.7258293860756464,0.3116805710258534,0.655860985776092,755.5396820834954,0.1442227787512665,0.5795169294451936
Synthetic / NICER-inspired,d17357d31d720259,smoke,E08,intermediate,58302.1,Synthetic / NICER-inspired educational absorption × (disk-like + power law),educational_powerlaw_free_nh_sensitivity,ga+scipy,polished,7330375815093237757,179.98999523549563,1046,0.241136099999494,True,0,24.0,max_generations,0.6513595898458092,8160.267722620515,2.141114214956945,0.2651759666342932,0.3083895332542611,0.7016720581929439,0.4091800934595414,0.6779417700801473,-5.6757556876618764e-08,0.1493538498842854,0.5871082109322484
Synthetic / NICER-inspired,d17357d31d720259,smoke,E01,hard rise,58193.2,Synthetic / NICER-inspired educational absorption × (disk-like + power law),educational_powerlaw,scipy,best_multistart,14668787301939144270,207.9605518162993,1415,0.2817924999999377,True,0,,,0.1929982969205117,15341.879979162117,1.5546983550873024,0.351758204359132,0.0733324599592367,0.7408397972714901,0.154216676124914,0.6932805294560791,0.0,,
