label,config_hash,profile,scenario,exposure_s,realization,injected_model,fit_model,method,stage,seed,parameter,truth,estimate,error,relative_error,delta_c,evaluations,wall_time_s,boundary_hits,failure
Synthetic / NICER-inspired,d17357d31d720259,smoke,high_signal_correct,4096.0,0,powerlaw,powerlaw,scipy,best_multistart,17873803874526923965,tin,0.7,0.6983953995184965,-0.0016046004815034598,-0.0022922864021478,0.0,825,0.1570463000007294,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,high_signal_correct,4096.0,0,powerlaw,powerlaw,scipy,best_multistart,17873803874526923965,ndisk,8000.0,8095.336825378404,95.33682537840377,0.01191710317230047,0.0,825,0.1570463000007294,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,high_signal_correct,4096.0,0,powerlaw,powerlaw,scipy,best_multistart,17873803874526923965,gamma,2.1,2.0988529135681993,-0.0011470864318008367,-0.0005462316341908746,0.0,825,0.1570463000007294,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,high_signal_correct,4096.0,0,powerlaw,powerlaw,scipy,best_multistart,17873803874526923965,norm,0.25,0.2490314021198532,-0.0009685978801468043,-0.003874391520587217,0.0,825,0.1570463000007294,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,high_signal_correct,4096.0,0,powerlaw,powerlaw,ga,raw,3094599229190573610,tin,0.7,0.9939536221087094,0.29395362210870946,0.419933745869585,11081.94401762556,800,0.21068019999984244,0,True
Synthetic / NICER-inspired,d17357d31d720259,smoke,high_signal_correct,4096.0,0,powerlaw,powerlaw,ga,raw,3094599229190573610,ndisk,8000.0,142.67982461091484,-7857.320175389085,-0.9821650219236356,11081.94401762556,800,0.21068019999984244,0,True
Synthetic / NICER-inspired,d17357d31d720259,smoke,high_signal_correct,4096.0,0,powerlaw,powerlaw,ga,raw,3094599229190573610,gamma,2.1,2.3463136655400962,0.24631366554009615,0.11729222168576006,11081.94401762556,800,0.21068019999984244,0,True
Synthetic / NICER-inspired,d17357d31d720259,smoke,high_signal_correct,4096.0,0,powerlaw,powerlaw,ga,raw,3094599229190573610,norm,0.25,0.423991272087825,0.173991272087825,0.6959650883513,11081.94401762556,800,0.21068019999984244,0,True
Synthetic / NICER-inspired,d17357d31d720259,smoke,high_signal_correct,4096.0,0,powerlaw,powerlaw,ga+scipy,polished,3094599229190573610,tin,0.7,0.6983954256770346,-0.0016045743229653464,-0.002292249032807638,1.1458323001534154e-07,1125,0.2781639999993786,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,high_signal_correct,4096.0,0,powerlaw,powerlaw,ga+scipy,polished,3094599229190573610,ndisk,8000.0,8095.3479787901415,95.3479787901415,0.011918497348767687,1.1458323001534154e-07,1125,0.2781639999993786,0,False
