label,scenario,exposure_s,method,stage,parameter,bias,rmse,failure_rate,boundary_hits,mean_delta_c,mean_evaluations,mean_runtime_s,samples
Synthetic / NICER-inspired,correct_model,512.0,ga,raw,gamma,-0.03685481440273321,0.2824296429722576,1.0,0,2839.362839128634,800.0,0.19971085000088346,2
Synthetic / NICER-inspired,correct_model,512.0,ga,raw,ndisk,-3598.813395984797,5685.107419242751,1.0,0,2839.362839128634,800.0,0.19971085000088346,2
Synthetic / NICER-inspired,correct_model,512.0,ga,raw,norm,0.011558797050765957,0.16455838229613332,1.0,0,2839.362839128634,800.0,0.19971085000088346,2
Synthetic / NICER-inspired,correct_model,512.0,ga,raw,tin,0.4136482008355436,0.4370846795409124,1.0,0,2839.362839128634,800.0,0.19971085000088346,2
Synthetic / NICER-inspired,correct_model,512.0,ga+scipy,polished,gamma,-0.0022917362582019997,0.012899110622814314,0.0,0,1.2690421158367826e-08,1090.0,0.25576524999996764,2
Synthetic / NICER-inspired,correct_model,512.0,ga+scipy,polished,ndisk,23.186483099477783,283.288949742557,0.0,0,1.2690421158367826e-08,1090.0,0.25576524999996764,2
Synthetic / NICER-inspired,correct_model,512.0,ga+scipy,polished,norm,-0.0011973703739786,0.005820507605412947,0.0,0,1.2690421158367826e-08,1090.0,0.25576524999996764,2
Synthetic / NICER-inspired,correct_model,512.0,ga+scipy,polished,tin,3.204871265325001e-05,0.002063451053492265,0.0,0,1.2690421158367826e-08,1090.0,0.25576524999996764,2
Synthetic / NICER-inspired,correct_model,512.0,scipy,best_multistart,gamma,-0.00229126830340755,0.012898958427904207,0.0,0,0.0,1122.5,0.2223586000000068,2
Synthetic / NICER-inspired,correct_model,512.0,scipy,best_multistart,ndisk,23.180782823383197,283.2860819409441,0.0,0,0.0,1122.5,0.2223586000000068,2
Synthetic / NICER-inspired,correct_model,512.0,scipy,best_multistart,norm,-0.0011970619274963,0.005820458726785821,0.0,0,0.0,1122.5,0.2223586000000068,2
Synthetic / NICER-inspired,correct_model,512.0,scipy,best_multistart,tin,3.1656979344300016e-05,0.002063312225688505,0.0,0,0.0,1122.5,0.2223586000000068,2
Synthetic / NICER-inspired,cutoff_truth_powerlaw_fit,512.0,ga,raw,gamma,-0.19710718516627937,0.5793317507233661,1.0,0,1809.8872898014379,800.0,0.26161355000022013,2
Synthetic / NICER-inspired,cutoff_truth_powerlaw_fit,512.0,ga,raw,ndisk,-1006.1265699362943,6910.874320636548,1.0,0,1809.8872898014379,800.0,0.26161355000022013,2
Synthetic / NICER-inspired,cutoff_truth_powerlaw_fit,512.0,ga,raw,norm,-0.01810857228911665,0.18270593507032643,1.0,0,1809.8872898014379,800.0,0.26161355000022013,2
Synthetic / NICER-inspired,cutoff_truth_powerlaw_fit,512.0,ga,raw,tin,0.3496384734117821,0.4423617092532936,1.0,0,1809.8872898014379,800.0,0.26161355000022013,2
Synthetic / NICER-inspired,cutoff_truth_powerlaw_fit,512.0,ga+scipy,polished,gamma,0.1346213123237518,0.13737234117494085,0.0,0,1.2104948154956219e-09,1042.5,0.31037095000010595,2
