label,epoch_id,phase,reference_mjd,tin,ndisk,gamma,norm,nh,qpo_hz,fractional_rms,exposure_s,hardness_ratio,intensity_cps,seed,truth_model,context
Synthetic / NICER-inspired,E01,hard rise,58193.2,0.2,15000.0,1.55,0.35,0.15,0.05,0.3,2048.0,0.7040131905339726,740.4480581166722,3870911178379236896,educational absorbed disk-like + power law,reference date/phase only; not an analysed observation
Synthetic / NICER-inspired,E02,hard plateau,58210.0,0.24,14000.0,1.6,0.45,0.15,0.1,0.28,2048.0,0.6608488437606564,930.7456933335915,13583011836669471139,educational absorbed disk-like + power law,reference date/phase only; not an analysed observation
Synthetic / NICER-inspired,E03,hard plateau,58235.3,0.28,13000.0,1.65,0.5,0.15,0.2,0.26,2048.0,0.6181292874276098,1015.1588936476702,15833478942628405873,educational absorbed disk-like + power law,reference date/phase only; not an analysed observation
Synthetic / NICER-inspired,E04,hard plateau,58259.1,0.32,12000.0,1.7,0.48,0.15,0.4,0.24,2048.0,0.5736938372249651,963.6583955801736,7299419269618482060,educational absorbed disk-like + power law,reference date/phase only; not an analysed observation
Synthetic / NICER-inspired,E05,hard decline,58275.4,0.38,11000.0,1.68,0.4,0.15,0.8,0.22,2048.0,0.554231116225791,844.8930069765411,9647529602876285464,educational absorbed disk-like + power law,reference date/phase only; not an analysed observation
Synthetic / NICER-inspired,E06,hard decline,58289.1,0.45,10000.0,1.75,0.34,0.15,1.5,0.2,2048.0,0.48194532095264414,735.2333722748778,12553732760407602811,educational absorbed disk-like + power law,reference date/phase only; not an analysed observation
Synthetic / NICER-inspired,E07,intermediate,58297.2,0.55,9000.0,1.95,0.32,0.15,3.0,0.18,2048.0,0.37195986144217325,687.4239252364348,16811980147633022532,educational absorbed disk-like + power law,reference date/phase only; not an analysed observation
Synthetic / NICER-inspired,E08,intermediate,58302.1,0.65,8000.0,2.15,0.27,0.15,5.0,0.15,2048.0,0.2958853007548808,605.4805410952529,2874038796690161108,educational absorbed disk-like + power law,reference date/phase only; not an analysed observation
Synthetic / NICER-inspired,E09,intermediate,58304.3,0.75,7000.0,2.35,0.2,0.15,8.0,0.1,2048.0,0.24833068089664528,504.81342912057823,4422172914670379432,educational absorbed disk-like + power law,reference date/phase only; not an analysed observation
Synthetic / NICER-inspired,E10,soft,58330.1,0.7,7500.0,2.4,0.06,0.15,,0.03,2048.0,0.1865296443189455,291.4775523190182,8818687592820419779,educational absorbed disk-like + power law,reference date/phase only; not an analysed observation
Synthetic / NICER-inspired,E11,decay intermediate,58390.0,0.45,9000.0,2.0,0.12,0.15,0.5,0.12,2048.0,0.2974759343364225,290.2073243897833,9546165077309354371,educational absorbed disk-like + power law,reference date/phase only; not an analysed observation
Synthetic / NICER-inspired,E12,return hard,58403.1,0.3,11000.0,1.7,0.2,0.15,0.2,0.2,2048.0,0.5424848307875081,417.2445676739762,10957256872971352959,educational absorbed disk-like + power law,reference date/phase only; not an analysed observation
